"","NGO","StartDate","EndDate","USD","Title","Details","Report","Fund","Continent","Country","SpeciesClass","isCWA","phase","More","euroContribution","euroTotal","URL","ID","Ref","Pounds","CentralWestAfrica"
"11","BirdLife International","2001-06-01 00:00:00.0","2002-05-31 00:00:00.0","98454","Forest Conservation at Mont PÃ©ko, CÃ´te d'Ivoire","Conserve forests in the Peko-Nimba Highlands by building capacity in Mount PÃ©ko, training individuals and promoting interests with managers of other protected areas.","- Final report (PDF - 132 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"12","BirdLife International","2004-07-01 00:00:00.0","2005-09-30 00:00:00.0","15500","Support for African Ornithologists from the Upper Guinea Forest to Attend the Eleventh Pan-African Ornithological Congress - PAOC XI","Support attendance of five African biologists from the Upper Guinean Forest of West Africa to attend the eleventh Pan-African Ornithological Congress â PAOC XI, to be held in Tunisia, 21-26 November 2004.","- Final report (PDF - 152 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"13","BirdLife International","2009-01-01 00:00:00.0","2011-08-31 00:00:00.0","469100","Sustaining and Securing Capacity in Biodiversity Conservation Action in the Upper Guinea Forest Area ","Sustain and build upon CEPF-supported capacity building gains by working closely with beneficiaries of past capacity building initiatives and academia (university and research staff) to secure existing capacity and support young graduates to pursue higher studies via a small grant scheme. Support the establishment of a platform that facilitates collaboration and exchange of information and expertise among protected area managers and develop an online toolkit for improved protected area management.","- Final report, English (PDF - 163 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14","Centre National des Sciences Halieutiques de Boussoura","2005-07-01 00:00:00.0","2005-09-30 00:00:00.0","4645","The 2005 Smithsonian Environmental Leadership Course: Participation by Samba T. Diallo","Fund participation of Samba T. Diallo, chief of the Industrial Fisheries Department, Republic of Guinea, at the Smithsonian Environmental Leadership Course in September 2005.","- Final report (PDF - 16 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"15","COLUFIFA-GUINEE","2005-08-01 00:00:00.0","2006-09-30 00:00:00.0","18450","Involving Local Populations in the Protection and Safeguarding of all Tropical Zone Species of Fauna and Flora in the Dabola and Dinguiraye Prefectures of Guinea","Involve local communities in conserving six forest sites in Dabola and Dinguiraye Prefectures, Guinea, covering approximately 5,400 hectares. Provide training, technical assistance, and guidance to local communities for monitoring and protection of biodiversity in these forests.","- Final report, FranÃ§ais (PDF - 41 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"16","Concerned Environmentalists for the Enhancement of Biodiversity","2003-04-01 00:00:00.0","2004-07-31 00:00:00.0","9838","Monrovia, Liberia as a Transport Hub for the Bushmeat Trade","Conduct surveys of bushmeat trade in Monrovia, Liberia, particularly to collect data on volumes and species traded and factors that affect supply of bushmeat to the market (such as the price of gasoline and ammunition). Investigate the potential outlets for bushmeat to enter international markets. The research will be conducted in collaboration with the Philadelphia Zoo, which will provide assistance and oversight of survey methods and data analysis.","- Final report (PDF - 456 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"17","Conservation International","2003-01-01 00:00:00.907","2008-03-31 00:00:00.907","153373","Building a Global Constituency for Biodiversity Conservation","Implement a series of targeted public awareness and education campaigns in nine hotspots in Africa, Asia and Latin America. Campaign leaders participate in an intensive training course at the UK's Kent University or Mexico's Guadalajara University, prepare detailed plans to implement campaigns, link with a local organization in their region and commit to a minimum of two years with that organization.","- Final report, English (PDF - 70 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"18","Conservation International","2004-09-15 00:00:00.07","2007-06-30 00:00:00.07","344823","Building Capacity for Conservation in Liberia","Build the technical and logistical capacity of Liberian organizations to collaborate and coordinate in achieving conservation and in implementing conservation projects in Liberia.","- Final report (PDF - 529 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"19","Conservation International","2001-03-15 00:00:00.15","2002-05-15 00:00:00.15","359087","Conservation of Biodiversity in MarahouÃ© National Park, CÃ´te dâIvoire","Establish park management systems to conserve biological diversity, ecological processes and productivity of the park.","- Final report (PDF - 117 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"20","Conservation International","2001-11-01 00:00:00.0","2002-08-31 00:00:00.0","11865","Developing a National Biodiversity Strategy for Ghana","Update the 1997 national biodiversity strategy to incorporate all the major initiatives that affect biodiversity conservation in the country. The Council for Scientific and Industrial Research in the Ghana Ministry of Environment, Science and Technology is also providing funding.","- Final report (PDF - 110 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"21","Conservation International","2001-01-01 00:00:00.0","2002-06-30 00:00:00.0","18081","Strengthening the Role of Universities in Biodiversity Conservation in West Africa: An Analysis of Opportunities","Conduct assessment of barriers that limit the involvement of academic institutions in conservation in Ghana and then develop and implement projects to strengthen the role of these institutions and build widespread support.","- Final report (PDF - 56.5 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"22","Conservation International","2003-11-01 00:00:00.0","2004-10-31 00:00:00.0","26156","Support for the Africa Biodiversity Collaborative Group","Support the Africa Biodiversity Collaborative Group in its review of the effectiveness of select forms of networking and communication of conservation concepts, tools and lessons to conservation decisionmakers and practitioners in all regions of Africa.","- Final report (PDF - 127 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"23","Conservation International","2001-12-01 00:00:00.0","2004-06-30 00:00:00.0","155991","Increasing Our Knowledge of Biodiversity in Priority Areas of the Upper Guinean Forest through Biological Assessments","Identify and train Rapid Assessment Program biologists, conduct two expeditions in the Haute Dodo region of southern CÃ´te d'Ivoire and in a site in Liberia and publish the results of both assessments in French and English.","- Final report (PDF - 114 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"24","Conservation International","2001-01-01 00:00:00.013","2002-12-31 00:00:00.013","300675","Conservation Connections: Developing a Conservation Corridor for the Nimba Highlands and the Sapo-Tai Complex","Catalyze creation of two biodiversity conservation corridors by establishing an office in Abidjan, developing and implementing a fundraising strategy, and forming a committee to guide project development.","- Final report (PDF - 149 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"25","Conservation International","2001-10-01 00:00:00.09","2002-09-30 00:00:00.09","76189","Conservation Priority-Setting Products and Dissemination","In follow-up to the West Africa Conservation Priority Setting Workshop held in 1999, publish and widely distribute a French translation of the workshop report and a CD-ROM database, and create an interactive Web site.","- Final report (PDF - 119 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"26","Conservation International","2002-10-01 00:00:00.0","2005-06-28 00:00:00.0","353198","Corridor Conservation â West Africa","Maintain Conservation International's coordinating office in Abidjan, with the objective of establishing five biodiversity conservation corridors, thus expanding the range of conservation practices applied in a variety of land use contexts.","- Final report (PDF - 49.1 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"27","Conservation International","2001-01-01 00:00:00.0","2004-04-30 00:00:00.0","491685","Hunting to Extinction: Addressing the Threat of the Bushmeat Trade to Wildlife in the Upper Guinea Forest","Develop a comprehensive strategy to curb the bushmeat trade in Ghana and a handbook for the general public on endangered species and bushmeat trade issues. Review legal and traditional wildlife regulations.","- Final report (PDF - 175 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"28","Conservation International","2001-01-01 00:00:00.787","2003-12-31 00:00:00.787","200249","Liberia Forest Reassessment","Create a geographic information system database for Liberia's forests, train Liberian and international staff to interpret satellite images, and create management plans for priority areas.","- Final report (PDF - 49.8 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"29","Conservation International","2002-02-01 00:00:00.993","2002-11-30 00:00:00.993","100274","Liberia: Laying the Foundation for the Creation of a Network of New Protected Areas","Form an alliance for conservation in Liberia, develop a strategy and implementation plan for the Conservation International-Government of Liberia agreement on protected areas and establish a protected area coordinating office in Monrovia.","- Final report (PDF - 117 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"30","Conservation International","2003-06-01 00:00:00.353","2004-03-31 00:00:00.353","29753","Action Plan for the Conservation of Chimpanzees in West Africa","Produce and publish a document in both French and English that contains the most up to date information on the status and threats to the survival of the endangered chimpanzee. The publication will be produced in French and English.","- Final report (PDF - 148 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"31","Conservation International","2001-10-17 00:00:00.0","2003-09-30 00:00:00.0","126934","Awareness Campaign on the Bushmeat Crisis","Develop and implement a public awareness campaign in Ghana. Generate public debate on the bushmeat crisis and encourage journalists to write about the issue. This project includes development of a monitoring system.","- Final report (PDF - 27.5 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"32","Conservation International","2002-10-15 00:00:00.393","2003-05-30 00:00:00.393","5382","Protected Area Gap Analysis in the Upper Guinea Ecosystem: Contribution to Regional Workshop on Protected Areas in Western and Central Africa","Prepare background documents on the state of protected areas, gaps, opportunities and challenges for a regional workshop that will bring together protected area managers from West and Central Africa in preparation for the World Parks Congress in 2003.","- Final report (PDF - 316 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"33","Conservation International","2005-07-01 00:00:00.0","2007-06-30 00:00:00.0","62150","The Great Ape Emergency Conservation Fund","Establish a small grants fund to address priority actions identified in the IUCN-SSC Status Survey and Conservation Action Plan: West African Chimpanzees. The fund will also support actions to address emergency situations pertaining to great apes in the Upper Guinean Forest.","- Final report (PDF - 29 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"34","Conservation International","2009-06-01 00:00:00.0","2012-06-30 00:00:00.0","711242","Ensuring Long-Term Sustainable Financing for Key Protected Areas in the Upper Guinean Forest Ecosystem","Ensure long-term sustainable financing for priority protected areas in the Upper Guinean Forest by assessing and pursuing opportunities for investment, ensuring that legislation is conducive to conservation investment and updating financial plans to support Liberia's protected area system. Explore, and where possible, establish funding mechanisms to support the recurrent costs of managing Liberia's protected area network and conservation-friendly economic development around protected areas.","- Final report, English (PDF - 78 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"35","Conserve Africa Foundation","2002-07-01 00:00:00.0","2003-06-30 00:00:00.0","16074","Phytomedica Network: Enhancing Exchange of Information through Phytomedica Network","Share information on sustainable use and conservation and management activities in ecosystems with high medicinal plant species diversity in Africa through Phytomedica, an information service to improve the exchange of ideas and information on medicinal plants conservation and natural products.","- Final report (PDF - 678 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"36","Cornell University","2002-10-01 00:00:00.0","2003-10-31 00:00:00.0","75000","Acoustic Monitoring of Forest Elephants","Develop and refine acoustic systems for assessing and monitoring local populations of forest elephants in Ghana's Kakum National Park. Detect and analyze elephant sounds, including infrasonic calls that are inaudible to human ears, to help researchers and conservationists generate abundance estimates, deduce population structure and contribute to management strategies that will ensure the long-term survival of elephant populations.","- Final report (PDF - 181 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"37","Durban Botanic Gardens","2002-11-01 00:00:00.0","2003-03-31 00:00:00.0","6000","First African Botanic Gardens Congress","Support participation of African delegates from the Cape Floristic Region, Guinean Forests of West Africa and Madagascar hotspots at the first African Botanic Gardens Conference in November 2002 in Durban, South Africa","- Final report (PDF - 15.7 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"38","Environmental Foundation for Africa","2004-07-01 00:00:00.593","2006-03-31 00:00:00.593","100695","Stimulating a Coordinated and Informed Approach to Biodiversity Conservation in Sierra Leone through Capacity Building of EFA and the Forum for Environmental Action","Provide substantive forums and telecommunication devices as appropriate tools for engaging thoughtful discussion and action in both the private and public sector areas of environmental management. This project aims to redress the specific challenge of environmental reform in governmental policy in post-civil war Sierra Leone.","- Final report (PDF - 32 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"39","Environmental Foundation for Africa","2006-01-01 00:00:00.407","2006-04-30 00:00:00.407","129353","Assessing Five Years of CEPF Investment in the Guinean Forests of West Africa","Organize a workshop with CEPF grantees and other partners in the region to assess the results of CEPF investments and identify collective lessons learned. Results will include documented proceedings and lessons learned to help inform future investment decisions.","- Final report (PDF - 352 KB) / En FranÃ§ais (PDF - 496 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"40","Environmental Foundation for Africa","2002-05-01 00:00:00.0","2005-05-01 00:00:00.0","295487","Reconstruction for Biodiversity Conservation, Research and Ecotourism in the Tiwai Island Wildlife Sanctuary, Sierra Leone","In collaboration with local communities, construct facilities for scientific research and a visitor center at the Tiwai Island Wildlife Sanctuary in Sierra Leone. The project will be a model for protected area management and community development in the country.","- Final report (PDF - 45.7 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"41","Environmental Foundation for Africa","2003-03-01 00:00:00.0","2005-12-31 00:00:00.0","295487","Reconstruction for Biodiversity Conservation, Research and Ecotourism in the Tiwai Island Wildlife Sanctuary, Sierra Leone","In collaboration with local communities, construct facilities for scientific research and a visitor center at the Tiwai Island Wildlife Sanctuary in Sierra Leone. The project will be a model for protected area management and community development in the country.","- Final report (PDF - 45.7 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"42","Environmental Foundation for Africa","2004-02-01 00:00:00.0","2004-07-31 00:00:00.0","9000","Ensuring Effective and Sustainable Management of the Tiwai Island Wildlife Sanctuary, Sierra Leone, through the Establishment of the Tiwai Island Administrative Committee Secretariat","Facilitate the establishment of a full time Secretariat to serve as the implementing agency of the Tiwai Island Administrative Committee, the entity that will be responsible for managing the Tiwai Island Wildlife Sanctuary, Sierra Leone. Prepare a business plan for the sanctuary.","- Final report (PDF - 827 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"43","Environmental Foundation for Africa","2009-01-01 00:00:00.0","2012-06-30 00:00:00.0","285000","Upscaling and Promoting Biodiversity Conservation and Community Livelihoods in the Upper Guinea Forest Ecosystem","Secure the gains made possible by the first phase of CEPF funding by conducting further work in ecotourism and sustainable community development in and around the Tiwai Island Wildlife Sanctuary in Sierra Leone. Activities include sharing the lessons from the Tiwai Island experience with the region via the establishment of a Biodiversity and Alternative Energy Learning Center in Sierra Leone.","- Final report, English (PDF - 70 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"44","Equals Three Communications","2003-05-15 00:00:00.0","2004-10-30 00:00:00.0","3334","Market Research Support to the Africa Environmental News Service","Support the Africa Environmental News Service by advising on planning of market research and development of marketing research tools, conducting the market research exercise and assisting with the development of a business plan.","- Final report (PDF - 103 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"45","Farmers Associated to Conserve the Environment","2005-11-01 00:00:00.0","2006-10-31 00:00:00.0","19992","Taking Biodiversity Conservation to the Proposed Lake Piso Nature Reserve","Focus on the proposed 76,000-acre Lake Piso Nature Reserve, one of the areas selected in an MOU between the government of Liberia and Conservation International for setting up a protected area network in Liberia. Conduct inventories of biodiversity and socioeconomic factors to generate information for the establishment of a computerized database for planning purposes, and build the capacity of  local communities to effectively manage and conserve their biodiversity resources without extensive external assistance.","- Final report (PDF - 42 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"46","Fauna &amp; Flora International","2004-07-01 00:00:00.0","2005-09-30 00:00:00.0","49946","Bushmeat Hunting and Trade in the Nimba Mountains","Establish a collaborative management program for wild fauna, involving local communities and Mt. Nimba Biosphere Reserve authorities as the first phase of a long-term initiative for the management of Mt. Nimba Biosphere Reserve.","- Final report, FranÃ§ais (PDF - 269 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"47","Fauna &amp; Flora International","2002-10-01 00:00:00.0","2005-12-31 00:00:00.0","136193","Interim Support to the Management of Sapo National Park, Liberia","Based upon experience gained and momentum begun under the Darwin- and WWF-funded program to restart management of Sapo National Park, continue supporting basic management of the park. This includes, for example, provision of basic training in protected area management skills to park staff and local volunteers; providing rudimentary motivational allowances and field rations; and installing basic park infrastructure.","- Final report (PDF - 34.8 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"48","Fauna &amp; Flora International","2002-05-01 00:00:00.0","2003-03-31 00:00:00.0","106067","Intensification of the Liberia Forest Re-Assessment Project to Create New Conservation Areas in Liberia","Complement and intensify the existing Liberia Forest Reassessment Project through additional surveys and new protected area proposals.","- Final report (PDF - 139 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"49","Fauna &amp; Flora International","2002-01-01 00:00:00.0","2002-04-30 00:00:00.0","7910","Support to Coordination of Biological Monitoring Program at Sapo National Park, Southeast Liberia","Upgrade field and data analysis skills of Liberian staff implementing the biomonitoring program; ensure proper data analysis; expand, where possible, the program to new areas and provide training in these areas; and ensure monitoring results are incorporated in the five-year management plan for the park.","- Final report (PDF - 2 MB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"50","Fauna &amp; Flora International","2008-12-01 00:00:00.0","2011-09-30 00:00:00.0","249393","Consolidating and Learning from Livelihood Interventions in Support of Biodiversity Conservation and Management at Nimba Mountain (Guinea), Sapo National Park (Liberia) and Tiwai Island (Sierra Leone)","Consolidate achievements from the first phase of CEPF funding of the Tiwai Island Tourism initiative in Sierra Leone and the Nimba Hunting and Bushmeat Initiative in Guinea and scale these up in Seringbara and Zoo around Nimba and the most appropriate locations in the Upper Guinean Forests. Document successful interventions in pilot community-based organizations and define the potential for introducing well-researched livelihood activities as alternatives to bushmeat hunting and trade.","- Final report, English (PDF - 76 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"51","Ghana Heritage Conservation Trust","2002-09-03 00:00:00.0","2003-12-03 00:00:00.0","19900","Development of Summer Camp","Develop a summer camp that promotes conservation efforts and exposes both visitors and the local community to nature and environmental education.","- No final report is available for this project.","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"52","Ghana Wildlife Society","2004-10-01 00:00:00.0","2005-09-30 00:00:00.0","19320","Status of White-Necked Picathartes in Ghana","Study and investigate data to update existing information on the distribution and population status of the white-necked picathartes (Picathartes gymnocephalus) in Ghana.","- Final report (PDF - 19.4 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"53","Grand Gedeh Community Servant Association","2003-10-28 00:00:00.0","2003-12-31 00:00:00.0","1896","Improving the Capacity of GECOMSA in NGO Management","Attendance of the Executive Director of GECOMSA at a course in nongovernmental organization (NGO) management to be held Nov. 3 to Dec. 12, 2003, at the Ghana Institute of Management and Public Administration.","- Final report (PDF - 66.7 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"54","Grand Gedeh Community Servant Association","2002-11-01 00:00:00.0","2003-06-30 00:00:00.0","7500","Bushmeat Awareness and Sustainable Development in Southeast Liberia Project","Steer impoverished communities in three counties of Liberia away from slash and burn agriculture and hunting of wild animals toward the economic alternative of raising livestock. Activities include raising awareness about the unsustainable bushmeat hunting; surveying local communities to determine acceptable alternatives to bushmeat that could be promoted in a future initiative and ultimately becoming involved in the management of buffer areas near protected areas.","- Final report (PDF - 138 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"55","Guinee-Ecologie","2004-08-01 00:00:00.0","2005-09-30 00:00:00.0","19605","Capacity Building of Local Riverine Communities for Biodiversity Conservation of Two Important Bird Areas: the Grande Chutes Forest at Kindia and the Kounoukan Forest at ForÃ©cariah (Guinea)","Build capacity for natural resource management among local riverine communities associated with the two forests. Develop and prepare management plans for the two forests, and put the plans into action.","- Final report, FranÃ§ais (PDF - 129 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"56","IUCN-The World Conservation Union","2002-06-01 00:00:00.0","2003-08-31 00:00:00.0","46432","Development of a Strategic Plan for the Establishment of International Corridors for Elephant Migration in West Africa","Develop a plan for the management and protection of African elephant migration corridors across the countries of Western Africa, via a sub-regional workshop. The workshop will also determine next steps for implementation of the strategic plan.","- Final report, FranÃ§ais (PDF - 25.9 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"57","IUCN-The World Conservation Union","2001-02-01 00:00:00.0","2005-01-31 00:00:00.0","343520","Long-Term System for Monitoring the Illegal Killing of Elephants (MIKE)","Coordinate and interpret data on the levels and trends in illegal killing of elephants to assist decisionmakers. The European Union and the governments of Belgium, Japan, and the United States are also supporting this project.","- Final report (PDF - 35.3 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"58","IUCN-The World Conservation Union","2002-10-15 00:00:00.0","2003-03-31 00:00:00.0","10000","Regional Workshop on Protected Areas in West and Central Africa","Bring together protected area managers from West and Central Africa in preparation for the World Parks Congress in 2003. This project includes support for 10 people from five West African countries to attend the workshop.","- Final report (PDF - 684 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
